KnownSex,BillLength,Mass,Skull
M,25.3,75.8,31.3
F,24.6,61.4,29.2
M,25.35,75.1,31.77
F,26.14,73.97,30.24
M,25.5,74,31.4
M,24.98,74.5,31.83
M,24.86,73.73,32.02
M,26.05,73.4,30.8
F,24.93,67.83,30.64
F,23.6,63.7,29.2
M,25.5,74,32
M,26.07,70.25,31.25
M,24.55,69.67,31.46
F,24.92,70.6,30.55
F,22.4,65,31.5
M,25.62,77,31.73
M,25.6,76.3,31.7
M,24.93,67.2,30.09
M,23.62,70,30.89
M,26.19,75.18,29.77
F,24.94,72.2,31.15
F,25.7,68.5,29.3
F,23.6,75.5,30.28
F,23.75,70.9,32
F,25.5,81.5,31.2
F,22.78,64,28.82
M,25.91,67.8,29.73
M,25.78,71.5,30.93
M,27.3,65.5,28.9
M,25.73,77.5,31.09
F,23.55,70,29.19
F,24.6,70,29.8
F,22.25,63.9,30
F,23.7,69,29.9
F,25,72.8,29.2
F,23.68,68.25,30.27
M,24.99,75.1,31.38
M,26.66,75.4,31.55
M,25.88,79.55,30.12
F,22.78,64,30.05
F,25.3,75.7,31.54
M,25.07,68,30.61
M,24.22,68.95,30.36
F,25.73,69.8,29.97
F,25.2,69.65,31.05
M,25.4,75.7,33.3
F,23.93,73.4,31.83
M,23.92,60.17,29.82
F,23.6,63.9,30.3
M,24.9,70,30.6
M,26.12,72.6,30.88
F,24.8,67.9,31.4
M,24.9,73.5,31.01
F,23.36,73.25,30.69
M,25.47,74.9,31.85
F,25.71,69.3,30.26
M,24.3,68.5,30.46
F,24.29,70.45,29.9
F,24.61,67.33,30.33
M,25,73.8,31.1
M,25.4,70.2,31.19
F,23.92,68.9,30.77
F,23.48,65.3,30.83
M,25.9,69.7,31.6
F,23.13,66.8,30.57
